,state,date,Unnamed: 0.1.1,zipcode,temperature,precip,humidity,visibility,pressure,cloudcover,heatindex,dewpoint,windchill,windgust,feelslike,mintemp,maxtemp,avgtemp,totalsnow,sunhour
3883,Wyoming,2021-02-10,33184.5,82318.5,-5.5,0.5,77.0,9.0,1022.0,42.5,-9.5,-13.5,-13.5,16.5,-13.5,-13.5,-5.5,-9.0,0.4,7.1
1639,Iowa,2021-02-10,32959.2,50824.0,-13.2,1.3,91.8,6.8,1035.0,90.2,-15.8,-16.6,-21.6,15.0,-21.6,-17.8,-13.2,-15.0,0.96,3.8
2879,Oklahoma,2021-02-10,33002.25,73675.75,-4.25,0.42500000000000004,71.75,8.75,1024.0,96.5,-4.25,-8.75,-11.0,27.75,-11.0,-4.75,-4.25,-4.25,0.075,5.4
515,California,2021-02-11,33576.21428571428,92808.41071428571,16.714285714285715,1.6750000000000003,70.53571428571429,9.642857142857142,1017.0892857142857,27.017857142857142,13.642857142857142,8.142857142857142,13.321428571428571,8.642857142857142,13.321428571428571,9.839285714285714,16.714285714285715,14.160714285714286,0.0,7.562499999999994
1876,Maryland,2021-02-11,33602.10344827586,21021.58620689655,0.13793103448275862,8.720689655172412,91.27586206896552,5.724137931034483,1025.2758620689656,97.20689655172414,-0.9655172413793104,-2.1724137931034484,-4.862068965517241,17.17241379310345,-4.862068965517241,-2.413793103448276,0.13793103448275862,-0.7241379310344828,5.120689655172413,3.9137931034482767
574,Colorado,2021-02-11,38830.066666666666,80333.26666666666,0.06666666666666667,0.020000000000000004,60.0,10.0,1018.0666666666667,14.333333333333334,-2.4,-9.4,-5.4,11.666666666666666,-5.4,-6.733333333333333,0.06666666666666667,-1.6666666666666667,0.006666666666666667,8.700000000000001
3589,Utah,2021-02-11,33887.6,84216.8,7.6,2.3000000000000003,72.4,8.2,1014.8,63.0,4.0,-1.0,2.8,6.6,2.8,0.0,7.6,4.4,1.3800000000000001,6.5600000000000005
3766,West Virginia,2021-02-11,33896.5,25722.25,-0.375,12.0125,92.875,5.0,1024.0,99.5,-1.625,-2.5,-4.75,12.375,-4.75,-4.0,-0.375,-1.625,4.85,4.6499999999999995
2289,Nevada,2021-02-11,33634.25,89162.375,16.75,0.125,44.625,10.0,1015.125,27.0,12.0,-0.75,11.375,13.75,11.375,7.5,16.75,12.75,0.0,7.699999999999999
3825,Wisconsin,2021-02-11,33847.0,53476.5,-15.833333333333334,0.5166666666666667,91.66666666666667,7.333333333333333,1036.8333333333333,77.16666666666667,-20.0,-21.0,-28.166666666666668,19.0,-28.166666666666668,-25.666666666666668,-15.833333333333334,-19.833333333333332,0.25,3.9333333333333336
